<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Twisted Rays , витые лучи
Two Layers , Два слоя
Two Threads , Две нити
Type , Введите .
Type Snowflake , Тип Снежинка
Ultra Water , Ультра-Вода
Unaligned Images , Неподписанные изображения
Undeniable , Неоспоримый
Undeniable 2 , Бесспорный 2
Underwater , Под водой
Undo Anaglyph , Отменить анаглиф
Uniform , Форма
Unknown , Неизвестный
Unsharp Mask , Резкая маска
Up-Left , Слева вверх
Upper Layer Is the Top Layer for All Blends , Верхний слой - это верхний слой для всех смесей.
Upper Side Orientation , Верхняя боковая ориентация
Uppercase Letters , заглавные буквы
Upscale [DCCI2x] , Высокоуровневый [DCCI2x]
Upscale [Diffusion] , Высокоуровневый [Диффузия]
Upscale [Scale2x] , Шкала [Шкала 2х]
Urban Cowboy , Городской ковбой
Use as Hue , Использовать как оттенок
Use as Saturation , Использовать в качестве насыщения
Use Individual Depth Map , Использовать отдельную карту глубины
Use Light , Использовать свет
Use Maximum Tones , Использовать максимальные тона
Use Top Layer as a Priority Mask , Использовать верхний слой как маску приоритета
User-Defined , Определяемый пользователем
User-Defined (Bottom Layer) , Определяемый пользователем (нижний слой)
Uzbek Bukhara , узбекская Бухара
Uzbek Marriage , узбекский брак
Uzbek Samarcande , узбекский Самарканд
V Cutoff , V обрезание
Val Range , Диапазон Вэл
Value , Значение
Value Action , Ценностное действие
Value Blending , Смешивание значений
Value Bottom , Нижнее значение
Value Correction , Коррекция значения
Value Factor , Фактор стоимости
Value Normalization , Нормализация стоимости
Value Offset , Смещение значения
Value Precision , Точность значения
Value Range , Диапазон значений
Value Scale , Шкала значений
Value Shift , Сдвиг значений
Value Variance , Вариация значений
Values , Значения
Van Gogh: Almond Blossom , Ван Гог: Цветение миндаля
Van Gogh: Irises , Ван Гог: Ирисы
Van Gogh: The Starry Night , Ван Гог: Звездная ночь
Van Gogh: Wheat Field with Crows , Ван Гог: Пшеничное поле с воронами
Variability , Переменная
Variance , Вариант
Variation A , Вариант А
Variation B , Вариант В
Variation C , Вариант С
Vector Painting , векторная живопись
Velocity , Скорость
Velvetia , Бархат
Velvia , Велвия
Vertex Type , Тип вершины
Vertical , Вертикальный
Vertical (%) , Вертикальный (%)
Vertical 1 Amount , Вертикаль 1 Количество
Vertical 1 Length , Вертикаль 1 Длина
Vertical 2 Amount , Вертикаль 2 Количество
Vertical 2 Length , Вертикальная 2 Длина
Vertical Amount , Вертикальный размер
Vertical Array , Вертикальный массив
Vertical Blur , Размытие по вертикали
Vertical Length , Вертикальная длина
Vertical Size (%) , Вертикальный размер (%)
Vertical Stripes , Вертикальные полосы
Vertical Tiles , Вертикальная плитка
Very Course 5 , Очень курс 5
Very Fine , Очень хорошо
Very High , Очень высокий
Very High (Even Slower) , Очень высоко (еще медленнее)
Very Warm Greenish , Очень теплый зеленоватый
Vibrant (alien) , Vibrant (инопланетянин)
Vibrant (contrast) , Ярко выраженный (контраст)
Victory , Победа
View Outlines Only , Просматривать только контуры
View Resolution , Просмотр Резолюции
Vignette , Виньетка
Vignette Contrast , контраст виньетки
Vignette Max Radius , Виньетка Макс Радиус
Vignette Min Radius , Виньетка Мин Радиус
Vignette Size , Размер виньетки
Vignette Strength , Прочность виньетки
Vignette Strenth , Виньетка Стрент
Vintage , Винтаж
Vintage (alt) , Винтаж (alt)
Vintage (brighter) , Винтаж (ярче)
Vintage 163 , винтаж 163
Vintage Chrome , Старинный хром
Vintage Style , винтажный стиль
Vintage Tone (%) , Винтажный тон (%)
Vintage Warmth 1 , Старинная теплота 1
Vireo 37 , Вирео 37
Virtual Landscape , Виртуальный пейзаж
Visible Watermark , Видимый водяной знак
Vivid Edges , яркие края
Vivid Edges* , Яркие края*
Vivid Light , яркий свет
Vivid Screen , яркий экран
Wall , Стена
Warhol , Уорхол
Warm , Теплый
Warm (highlight) , Теплый (изюминка)
Warm (yellow) , Теплый (желтый)
Warm Dark Contrasty , Теплый темный контраст
Warm Fade , Теплое угасание
Warm Fade 1 , Теплое угасание 1
Warm Neutral , Теплый нейтральный
Warm Sunset Red , Теплый красный закат
Warm Teal , Теплый пломбир
Warm Vintage , Теплый Винтаж
Warp [Interactive] , Варп [интерактивный]
Warp by Intensity , искривление по интенсивности
Water , Вода
Waterfall , Водопад
Wave(s) , Волна(и)
Wavelength , Длина волны
Wavelet , Вейвлет
